City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Venado Tuerto,AR,2021-03-04 05:30:03,-33.7456,-61.9688,71.01,99,99,5.95
269,Kafue,ZM,2021-03-04 05:31:30,-15.7691,28.1814,66.2,94,0,2.3
270,Sumbe,AO,2021-03-04 05:31:32,-11.2061,13.8437,78.17,79,97,3.0
271,Makakilo City,US,2021-03-04 05:31:33,21.3469,-158.0858,73.4,60,75,8.05
272,Kongoussi,BF,2021-03-04 05:31:34,13.3258,-1.5347,73.89,21,0,5.91
273,Cidreira,BR,2021-03-04 05:31:36,-30.1811,-50.2056,74.14,91,53,2.3
274,Dingle,PH,2021-03-04 05:31:38,10.9995,122.6711,84.87,70,97,14.94
275,Lagoa,PT,2021-03-04 05:31:39,39.05,-27.9833,59.18,86,99,20.09
276,Tungor,RU,2021-03-04 05:31:40,53.3808,142.9564,8.1,93,89,8.99
277,Armacao De Pera,PT,2021-03-04 05:31:41,37.1026,-8.357,59.0,77,20,18.41
278,Ankang,CN,2021-03-04 05:31:42,32.68,109.0172,66.54,35,3,2.24
279,Bengkulu,ID,2021-03-04 05:31:43,-3.8004,102.2655,86.67,62,79,8.5
280,Camacupa,AO,2021-03-04 05:31:44,-12.0167,17.4833,61.63,91,100,3.06
281,Campoverde,PE,2021-03-04 05:31:45,-8.4753,-74.8058,71.53,96,100,1.54
282,Marsa Matruh,EG,2021-03-04 05:31:46,31.3525,27.2453,57.2,67,40,9.22
283,Yashkino,RU,2021-03-04 05:31:47,55.8736,85.4265,17.01,79,75,20.13
284,Calbuco,CL,2021-03-04 05:31:48,-41.768,-73.1273,51.8,87,0,2.3
285,Pacific Grove,US,2021-03-04 05:31:49,36.6177,-121.9166,51.8,76,1,5.75
286,Jurm,AF,2021-03-04 05:31:50,36.8648,70.8342,45.12,56,58,3.31
287,Metu,ET,2021-03-04 05:31:51,8.3,35.5833,69.31,61,97,1.72
288,Leningradskiy,RU,2021-03-04 05:31:52,69.3833,178.4167,-10.48,86,100,31.94
289,Lahij,YE,2021-03-04 05:31:53,13.1667,44.5833,76.12,56,22,7.05
290,Yulara,AU,2021-03-04 05:31:54,-25.2406,130.9889,100.4,13,9,9.22
291,Adrar,MR,2021-03-04 05:31:54,20.5022,-10.0711,64.54,24,97,11.12
